epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5903,1.18129,2.54614,1.00487,0.66913,0.48627,0.52436,0.35054,1.02075,1.74554,0.92781,0.00330864,0.00330864,0.00330864
2,69.8718,1.0987,1.39247,0.97491,0.7313,0.61022,0.67813,0.48754,0.95751,1.28558,0.91868,0.00663102,0.00663102,0.00663102
3,102.599,1.13813,1.27115,0.98914,0.91033,0.68987,0.75945,0.49695,1.03119,1.33609,0.97091,0.00994239,0.00994239,0.00994239
4,134.803,1.18705,1.20792,1.02969,0.74935,0.68252,0.71533,0.46738,1.05858,1.08945,0.98384,0.0099505,0.0099505,0.0099505
5,166.901,1.12234,1.07733,1.00926,0.80111,0.72334,0.74757,0.50783,0.98586,0.95605,0.9665,0.009934,0.009934,0.009934
6,199.109,1.13058,1.00947,1.01515,0.85637,0.73088,0.7993,0.53783,1.05939,0.88872,0.98142,0.0099175,0.0099175,0.0099175
7,232.033,1.07351,0.92617,1.00915,0.81904,0.76168,0.82651,0.55264,0.94267,0.87269,0.95105,0.009901,0.009901,0.009901
8,264.754,1.0519,0.88282,0.9982,0.80603,0.70975,0.76819,0.53813,0.92805,0.7791,0.94568,0.0098845,0.0098845,0.0098845
9,296.804,1.02638,0.82867,1.00255,0.83856,0.74207,0.80598,0.53361,0.96392,0.7318,0.97831,0.009868,0.009868,0.009868
10,328.725,1.01822,0.774,0.98479,0.88644,0.78229,0.84032,0.57711,0.91955,0.71695,0.9524,0.0098515,0.0098515,0.0098515
11,360.55,1.03597,0.75721,0.99064,0.86621,0.751,0.82619,0.57492,0.91816,0.68485,0.94765,0.009835,0.009835,0.009835
12,392.773,0.99313,0.73343,0.98275,0.91312,0.74331,0.8185,0.56993,0.89099,0.65539,0.94823,0.0098185,0.0098185,0.0098185
13,425.466,1.03782,0.72981,0.99966,0.87337,0.80679,0.84544,0.57381,0.90566,0.6454,0.94839,0.009802,0.009802,0.009802
14,457.983,0.98423,0.68766,0.98211,0.88503,0.74695,0.81589,0.58449,0.89556,0.62596,0.94159,0.0097855,0.0097855,0.0097855
15,490.82,1.00163,0.69688,0.98091,0.81119,0.79943,0.84431,0.60075,0.87875,0.60968,0.94208,0.009769,0.009769,0.009769
16,522.741,0.99919,0.68831,0.97687,0.80368,0.78318,0.81524,0.56651,0.90763,0.68262,0.94251,0.0097525,0.0097525,0.0097525
17,554.84,0.95869,0.66219,0.98194,0.90385,0.77081,0.85242,0.60858,0.87703,0.61278,0.94442,0.009736,0.009736,0.009736
18,587.246,0.95065,0.67147,0.97037,0.90053,0.77657,0.85758,0.58515,0.89421,0.60569,0.94101,0.0097195,0.0097195,0.0097195
19,619.796,0.97408,0.65526,0.97767,0.8831,0.79657,0.86383,0.59916,0.88113,0.62477,0.94657,0.009703,0.009703,0.009703
20,651.296,0.9641,0.64893,0.96571,0.90108,0.77013,0.85481,0.61007,0.8581,0.56992,0.93545,0.0096865,0.0096865,0.0096865
21,683.179,0.94408,0.64094,0.97423,0.83355,0.78887,0.84025,0.56834,0.88643,0.58461,0.97987,0.00967,0.00967,0.00967
22,715.238,0.92984,0.61899,0.96772,0.90437,0.75155,0.86762,0.60482,0.90261,0.58464,0.95103,0.0096535,0.0096535,0.0096535
